state,total
Alaska,28
Alabama,53
Arkansas,50
Arizona,210
California,690
Colorado,89
Connecticut,47
Delaware,16
Florida,299
Georgia,92
Hawaii,28
Iowa,51
Idaho,33
Illinois,248
Indiana,125
Kansas,49
Kentucky,75
Louisiana,37
Massachusetts,87
Maryland,67
Maine,35
Michigan,123
Minnesota,78
Missouri,103
Mississippi,32
Montana,30
North Carolina,138
North Dakota,6
Nebraska,31
New Hampshire,52
New Jersey,128
New Mexico,47
Nevada,60
New York,252
Ohio,146
Oklahoma,59
Oregon,125
Pennsylvania,141
Rhode Island,22
South Carolina,50
South Dakota,13
Tennessee,71
Texas,300
Utah,42
Virginia,81
Vermont,17
Washington,230
Wisconsin,92
West Virginia,35
Wyoming,14
