state,total
Alaska,32
Alabama,45
Arkansas,41
Arizona,182
California,742
Colorado,115
Connecticut,37
Delaware,5
Florida,217
Georgia,77
Hawaii,22
Iowa,32
Idaho,44
Illinois,157
Indiana,71
Kansas,47
Kentucky,49
Louisiana,34
Massachusetts,68
Maryland,54
Maine,50
Michigan,161
Minnesota,54
Missouri,122
Mississippi,26
Montana,43
North Carolina,77
North Dakota,17
Nebraska,14
New Hampshire,17
New Jersey,70
New Mexico,54
Nevada,92
New York,177
Ohio,157
Oklahoma,39
Oregon,203
Pennsylvania,139
Rhode Island,12
South Carolina,29
South Dakota,10
Tennessee,90
Texas,242
Utah,54
Virginia,75
Vermont,10
Washington,595
Wisconsin,108
West Virginia,25
Wyoming,13
