state,total
Alaska,15
Alabama,24
Arkansas,44
Arizona,194
California,426
Colorado,43
Connecticut,26
Delaware,8
Florida,124
Georgia,45
Hawaii,14
Iowa,26
Idaho,23
Illinois,98
Indiana,49
Kansas,29
Kentucky,21
Louisiana,23
Massachusetts,47
Maryland,34
Maine,19
Michigan,76
Minnesota,49
Missouri,76
Mississippi,21
Montana,17
North Carolina,50
North Dakota,3
Nebraska,14
New Hampshire,17
New Jersey,53
New Mexico,33
Nevada,49
New York,131
Ohio,103
Oklahoma,40
Oregon,99
Pennsylvania,91
Rhode Island,10
South Carolina,13
South Dakota,3
Tennessee,42
Texas,136
Utah,37
Virginia,31
Vermont,8
Washington,217
Wisconsin,54
West Virginia,16
Wyoming,6
