state,total
Alaska,23
Alabama,45
Arkansas,57
Arizona,197
California,702
Colorado,117
Connecticut,85
Delaware,14
Florida,344
Georgia,112
Hawaii,24
Iowa,43
Idaho,41
Illinois,241
Indiana,103
Kansas,50
Kentucky,83
Louisiana,43
Massachusetts,123
Maryland,80
Maine,40
Michigan,180
Minnesota,82
Missouri,133
Mississippi,28
Montana,56
North Carolina,197
North Dakota,9
Nebraska,32
New Hampshire,36
New Jersey,98
New Mexico,47
Nevada,70
New York,265
Ohio,172
Oklahoma,59
Oregon,122
Pennsylvania,196
Rhode Island,20
South Carolina,123
South Dakota,17
Tennessee,101
Texas,294
Utah,60
Virginia,119
Vermont,22
Washington,332
Wisconsin,105
West Virginia,31
Wyoming,20
