state,total
Alaska,49
Alabama,70
Arkansas,62
Arizona,228
California,859
Colorado,135
Connecticut,161
Delaware,29
Florida,488
Georgia,123
Hawaii,37
Iowa,108
Idaho,60
Illinois,283
Indiana,155
Kansas,59
Kentucky,76
Louisiana,54
Massachusetts,166
Maryland,112
Maine,110
Michigan,239
Minnesota,147
Missouri,198
Mississippi,45
Montana,83
North Carolina,262
North Dakota,15
Nebraska,45
New Hampshire,82
New Jersey,164
New Mexico,80
Nevada,92
New York,438
Ohio,279
Oklahoma,101
Oregon,176
Pennsylvania,329
Rhode Island,48
South Carolina,198
South Dakota,28
Tennessee,132
Texas,299
Utah,114
Virginia,165
Vermont,52
Washington,457
Wisconsin,172
West Virginia,75
Wyoming,18
