state,total
Alaska,13
Alabama,59
Arkansas,36
Arizona,182
California,705
Colorado,113
Connecticut,65
Delaware,16
Florida,357
Georgia,122
Hawaii,24
Iowa,40
Idaho,34
Illinois,184
Indiana,124
Kansas,46
Kentucky,69
Louisiana,54
Massachusetts,81
Maryland,67
Maine,29
Michigan,155
Minnesota,59
Missouri,116
Mississippi,34
Montana,26
North Carolina,126
North Dakota,12
Nebraska,16
New Hampshire,40
New Jersey,130
New Mexico,69
Nevada,69
New York,219
Ohio,150
Oklahoma,62
Oregon,90
Pennsylvania,214
Rhode Island,19
South Carolina,60
South Dakota,11
Tennessee,96
Texas,365
Utah,35
Virginia,98
Vermont,18
Washington,208
Wisconsin,64
West Virginia,36
Wyoming,10
