state,total
Alaska,21
Alabama,55
Arkansas,58
Arizona,142
California,691
Colorado,91
Connecticut,58
Delaware,12
Florida,243
Georgia,77
Hawaii,14
Iowa,33
Idaho,30
Illinois,120
Indiana,85
Kansas,32
Kentucky,69
Louisiana,36
Massachusetts,85
Maryland,41
Maine,42
Michigan,113
Minnesota,56
Missouri,86
Mississippi,25
Montana,26
North Carolina,103
North Dakota,12
Nebraska,20
New Hampshire,31
New Jersey,94
New Mexico,54
Nevada,59
New York,208
Ohio,145
Oklahoma,50
Oregon,99
Pennsylvania,133
Rhode Island,9
South Carolina,67
South Dakota,10
Tennessee,64
Texas,236
Utah,49
Virginia,77
Vermont,11
Washington,271
Wisconsin,79
West Virginia,31
Wyoming,17
