state,total
Alaska,16
Alabama,34
Arkansas,44
Arizona,123
California,617
Colorado,75
Connecticut,65
Delaware,14
Florida,214
Georgia,75
Hawaii,25
Iowa,49
Idaho,38
Illinois,191
Indiana,97
Kansas,49
Kentucky,60
Louisiana,35
Massachusetts,95
Maryland,50
Maine,24
Michigan,127
Minnesota,72
Missouri,120
Mississippi,25
Montana,24
North Carolina,132
North Dakota,6
Nebraska,39
New Hampshire,22
New Jersey,92
New Mexico,35
Nevada,49
New York,183
Ohio,136
Oklahoma,38
Oregon,84
Pennsylvania,168
Rhode Island,21
South Carolina,66
South Dakota,17
Tennessee,72
Texas,239
Utah,34
Virginia,82
Vermont,17
Washington,282
Wisconsin,67
West Virginia,24
Wyoming,14
