state,total
Alaska,19
Alabama,47
Arkansas,38
Arizona,177
California,619
Colorado,102
Connecticut,31
Delaware,14
Florida,262
Georgia,88
Hawaii,11
Iowa,35
Idaho,35
Illinois,153
Indiana,73
Kansas,51
Kentucky,67
Louisiana,41
Massachusetts,79
Maryland,40
Maine,39
Michigan,117
Minnesota,63
Missouri,83
Mississippi,26
Montana,28
North Carolina,83
North Dakota,9
Nebraska,29
New Hampshire,21
New Jersey,93
New Mexico,67
Nevada,51
New York,176
Ohio,112
Oklahoma,38
Oregon,91
Pennsylvania,148
Rhode Island,21
South Carolina,56
South Dakota,15
Tennessee,71
Texas,266
Utah,29
Virginia,75
Vermont,12
Washington,197
Wisconsin,53
West Virginia,23
Wyoming,14
