state,total
Alaska,17
Alabama,63
Arkansas,44
Arizona,169
California,630
Colorado,97
Connecticut,75
Delaware,8
Florida,264
Georgia,124
Hawaii,23
Iowa,51
Idaho,20
Illinois,214
Indiana,98
Kansas,45
Kentucky,68
Louisiana,36
Massachusetts,81
Maryland,58
Maine,38
Michigan,181
Minnesota,58
Missouri,116
Mississippi,28
Montana,30
North Carolina,122
North Dakota,10
Nebraska,33
New Hampshire,33
New Jersey,82
New Mexico,56
Nevada,58
New York,219
Ohio,147
Oklahoma,48
Oregon,117
Pennsylvania,170
Rhode Island,14
South Carolina,73
South Dakota,17
Tennessee,73
Texas,240
Utah,35
Virginia,77
Vermont,19
Washington,228
Wisconsin,71
West Virginia,29
Wyoming,9
