state,total
Alaska,51
Alabama,141
Arkansas,48
Arizona,318
California,935
Colorado,217
Connecticut,119
Delaware,39
Florida,690
Georgia,233
Hawaii,72
Iowa,73
Idaho,99
Illinois,179
Indiana,156
Kansas,74
Kentucky,91
Louisiana,125
Massachusetts,221
Maryland,150
Maine,60
Michigan,217
Minnesota,115
Missouri,168
Mississippi,49
Montana,63
North Carolina,299
North Dakota,13
Nebraska,31
New Hampshire,99
New Jersey,187
New Mexico,114
Nevada,107
New York,340
Ohio,300
Oklahoma,95
Oregon,239
Pennsylvania,404
Rhode Island,43
South Carolina,266
South Dakota,26
Tennessee,158
Texas,326
Utah,87
Virginia,193
Vermont,42
Washington,403
Wisconsin,158
West Virginia,65
Wyoming,21
