state,total
Alaska,21
Alabama,42
Arkansas,43
Arizona,196
California,834
Colorado,112
Connecticut,91
Delaware,13
Florida,322
Georgia,109
Hawaii,25
Iowa,52
Idaho,30
Illinois,203
Indiana,104
Kansas,54
Kentucky,85
Louisiana,64
Massachusetts,98
Maryland,64
Maine,47
Michigan,171
Minnesota,84
Missouri,125
Mississippi,35
Montana,37
North Carolina,170
North Dakota,12
Nebraska,42
New Hampshire,34
New Jersey,130
New Mexico,61
Nevada,58
New York,276
Ohio,174
Oklahoma,57
Oregon,119
Pennsylvania,210
Rhode Island,28
South Carolina,87
South Dakota,17
Tennessee,98
Texas,358
Utah,46
Virginia,115
Vermont,28
Washington,280
Wisconsin,91
West Virginia,39
Wyoming,13
