state,total
Alaska,19
Alabama,35
Arkansas,42
Arizona,224
California,694
Colorado,119
Connecticut,58
Delaware,10
Florida,235
Georgia,82
Hawaii,23
Iowa,55
Idaho,25
Illinois,241
Indiana,130
Kansas,45
Kentucky,70
Louisiana,53
Massachusetts,70
Maryland,45
Maine,31
Michigan,120
Minnesota,90
Missouri,96
Mississippi,27
Montana,34
North Carolina,92
North Dakota,12
Nebraska,47
New Hampshire,23
New Jersey,105
New Mexico,61
Nevada,55
New York,233
Ohio,176
Oklahoma,42
Oregon,113
Pennsylvania,160
Rhode Island,20
South Carolina,48
South Dakota,17
Tennessee,83
Texas,270
Utah,32
Virginia,75
Vermont,8
Washington,290
Wisconsin,66
West Virginia,29
Wyoming,12
