state,total
Alaska,47
Alabama,66
Arkansas,45
Arizona,294
California,843
Colorado,175
Connecticut,91
Delaware,29
Florida,487
Georgia,144
Hawaii,34
Iowa,52
Idaho,97
Illinois,191
Indiana,85
Kansas,46
Kentucky,75
Louisiana,66
Massachusetts,151
Maryland,123
Maine,61
Michigan,197
Minnesota,157
Missouri,108
Mississippi,44
Montana,61
North Carolina,203
North Dakota,12
Nebraska,24
New Hampshire,82
New Jersey,140
New Mexico,77
Nevada,110
New York,327
Ohio,235
Oklahoma,72
Oregon,227
Pennsylvania,252
Rhode Island,50
South Carolina,116
South Dakota,19
Tennessee,115
Texas,216
Utah,77
Virginia,162
Vermont,46
Washington,291
Wisconsin,145
West Virginia,59
Wyoming,21
