state,total
Alaska,21
Alabama,45
Arkansas,20
Arizona,149
California,351
Colorado,93
Connecticut,45
Delaware,18
Florida,240
Georgia,79
Hawaii,10
Iowa,27
Idaho,35
Illinois,63
Indiana,43
Kansas,38
Kentucky,46
Louisiana,26
Massachusetts,59
Maryland,61
Maine,26
Michigan,91
Minnesota,71
Missouri,78
Mississippi,19
Montana,27
North Carolina,85
North Dakota,7
Nebraska,15
New Hampshire,41
New Jersey,87
New Mexico,60
Nevada,40
New York,118
Ohio,97
Oklahoma,34
Oregon,76
Pennsylvania,111
Rhode Island,22
South Carolina,80
South Dakota,12
Tennessee,62
Texas,105
Utah,44
Virginia,78
Vermont,12
Washington,149
Wisconsin,62
West Virginia,17
Wyoming,10
