state,total
Alaska,52
Alabama,83
Arkansas,56
Arizona,239
California,750
Colorado,145
Connecticut,145
Delaware,18
Florida,543
Georgia,148
Hawaii,54
Iowa,90
Idaho,99
Illinois,186
Indiana,149
Kansas,61
Kentucky,103
Louisiana,48
Massachusetts,199
Maryland,125
Maine,98
Michigan,191
Minnesota,132
Missouri,114
Mississippi,45
Montana,55
North Carolina,210
North Dakota,8
Nebraska,31
New Hampshire,77
New Jersey,167
New Mexico,96
Nevada,58
New York,267
Ohio,379
Oklahoma,91
Oregon,207
Pennsylvania,316
Rhode Island,34
South Carolina,163
South Dakota,18
Tennessee,131
Texas,271
Utah,88
Virginia,207
Vermont,70
Washington,325
Wisconsin,179
West Virginia,60
Wyoming,17
