state,total
Alaska,42
Alabama,60
Arkansas,45
Arizona,254
California,638
Colorado,210
Connecticut,78
Delaware,22
Florida,385
Georgia,132
Hawaii,30
Iowa,44
Idaho,79
Illinois,164
Indiana,93
Kansas,52
Kentucky,65
Louisiana,54
Massachusetts,117
Maryland,104
Maine,72
Michigan,146
Minnesota,91
Missouri,126
Mississippi,33
Montana,53
North Carolina,224
North Dakota,16
Nebraska,21
New Hampshire,63
New Jersey,138
New Mexico,90
Nevada,76
New York,233
Ohio,163
Oklahoma,56
Oregon,178
Pennsylvania,210
Rhode Island,36
South Carolina,102
South Dakota,22
Tennessee,118
Texas,168
Utah,96
Virginia,117
Vermont,25
Washington,252
Wisconsin,121
West Virginia,37
Wyoming,19
