state,total
Alaska,13
Alabama,23
Arkansas,61
Arizona,142
California,531
Colorado,113
Connecticut,35
Delaware,10
Florida,204
Georgia,58
Hawaii,18
Iowa,36
Idaho,24
Illinois,134
Indiana,63
Kansas,25
Kentucky,30
Louisiana,29
Massachusetts,72
Maryland,49
Maine,29
Michigan,113
Minnesota,44
Missouri,74
Mississippi,25
Montana,26
North Carolina,93
North Dakota,8
Nebraska,21
New Hampshire,43
New Jersey,79
New Mexico,59
Nevada,48
New York,214
Ohio,137
Oklahoma,43
Oregon,125
Pennsylvania,161
Rhode Island,8
South Carolina,37
South Dakota,12
Tennessee,65
Texas,212
Utah,52
Virginia,84
Vermont,15
Washington,270
Wisconsin,63
West Virginia,33
Wyoming,20
